name,industry,ratings,reviews,salaries,interviews,jobs,benefits,photos,hq,more_locations
Firstsource Solutions,BPO,3.5,5600.0,2410000.0,358.0,142.0,570.0,13.0,Bangalore / Bengaluru,74
Standard Chartered,Banking,3.6,5600.0,4200000.0,321.0,0.0,305.0,0.0,Chennai,68
Mahindra Finance,NBFC,3.9,5500.0,1210000.0,215.0,442.0,507.0,11.0,Mumbai,730
Bosch Global Software Technologies,IT Services & Consulting,3.7,5500.0,4000000.0,387.0,21.0,625.0,21.0,Bangalore / Bengaluru,47
Apollo Hospitals,Healthcare,4.1,5500.0,1650000.0,476.0,167.0,507.0,2.0,Chennai,229
UST,IT Services & Consulting,3.7,5500.0,3940000.0,584.0,151.0,408.0,16.0,Bangalore / Bengaluru,50
Ashok Leyland,Automobile,4.0,5500.0,1860000.0000000002,315.0,0.0,642.0,15.0,Chennai,260
Swiggy,Internet,3.7,5400.0,2300000.0,562.0,261.0,343.0,18.0,Bangalore / Bengaluru,230
Citicorp,Financial Services,3.7,5400.0,5210000.0,620.0,0.0,517.0,6.0,Pune,68
Hero MotoCorp,Automobile,4.1,5300.0,1570000.0,406.0,2.0,584.0,9.0,Gurgaon / Gurugram,367
Cyient,IT Services & Consulting,3.6,5300.0,2750000.0,331.0,85.0,466.0,3.0,Hyderabad / Secunderabad,48
CGI Group,IT Services & Consulting,4.0,5300.0,4550000.0,555.0,823.0,354.0,5.0,Bangalore / Bengaluru,43
SBI Cards & Payment Services,Financial Services,3.6,5200.0,1590000.0,300.0,108.0,344.0,13.0,Gurgaon / Gurugram,436
Kalpataru Projects International,Engineering & Construction,4.2,5100.0,1370000.0,324.0,1.0,203.0,21.0,Mumbai,321
JustDial,Internet,3.5,5100.0,1550000.0,389.0,53.0,372.0,9.0,Noida,229
BNY,Financial Services,3.6,5100.0,3080000.0,395.0,3.0,528.0,1.0,Pune,25
IQVIA,Clinical Research,3.7,5100.0,3050000.0,541.0,26.0,524.0,10.0,Bangalore / Bengaluru,65
NTT Data,IT Services & Consulting,3.8,5000.0,3590000.0,739.0,196.0,156.0,1.0,Bangalore / Bengaluru,81
Nagarjuna Construction Company,Engineering & Construction,4.0,5000.0,1200000.0,435.0,13.0,408.0,11.0,Hyderabad / Secunderabad,297
TVS Motor,Automobile,3.9,5000.0,1580000.0,394.0,70.0,536.0,12.0,Hosur,349
SBI Life Insurance Company,Insurance,3.7,5000.0,1160000.0,306.0,9.0,327.0,18.0,Mumbai,655
CBRE,Real Estate,4.1,5000.0,1870000.0,342.0,28.0,443.0,19.0,Hyderabad / Secunderabad,91
Schneider Electric,Industrial Automation,4.2,5000.0,2430000.0,449.0,25.0,436.0,13.0,Bangalore / Bengaluru,119
Persistent Systems,IT Services & Consulting,3.6,4900.0,4480000.0,703.0,256.0,369.0,33.0,Pune,41
State Bank of India,Banking,3.8,4900.0,1160000.0,308.0,15.0,400.0,5.0,Mumbai,618
vivo,Consumer Electronics & Appliances,4.1,4900.0,1300000.0,235.0,11.0,643.0,3.0,Noida,414
Atos,IT Services & Consulting,3.8,4900.0,3400000.0,405.0,90.0,456.0,10.0,Pune,49
Ecom Express,Logistics,4.0,4800.0,960000.0,263.0,0.0,323.0,39.0,Gurgaon / Gurugram,775
Eviden,IT Services & Consulting,3.6,4800.0,2790000.0,316.0,8.0,1.0,11.0,Pune,39
KEC International,Engineering & Construction,4.0,4800.0,1320000.0,415.0,9.0,441.0,54.0,Mumbai,314
Amdocs,Software Product,3.6,4800.0,3720000.0000000005,559.0,11.0,614.0,20.0,Pune,23
